Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclMethod,CountDeclClass
File,"Animation.java",,1,26,,1,,,,,133,12,21,1
File,"Banco.java",,1,4,,0,,,,,20,0,4,1
File,"BaseSprite.java",,1,22,,1,,,,,110,10,18,1
File,"Body.java",,1,42,,2,,,,,192,9,22,1
File,"Campo.java",,1,8,,0,,,,,39,0,8,1
File,"CampoEspecial.java",,1,2,,0,,,,,12,0,2,1
File,"Carta.java",,1,3,,0,,,,,19,0,4,1
File,"CartaAposta.java",,1,5,,2,,,,,24,0,2,1
File,"CartaSaiaDaPrisao.java",,1,4,,1,,,,,22,0,3,1
File,"CartaSorteOuReves.java",,1,1,,0,,,,,10,0,1,1
File,"CartaVaParaPrisao.java",,1,2,,0,,,,,14,0,2,1
File,"Collision.java",,2,4,,1,,,,,20,13,2,1
File,"Compania.java",,1,32,,3,,,,,137,0,18,1
File,"ComprarPropriedade.java",,1,10,,0,,,,,108,16,10,5
File,"ContaBancaria.java",,1,5,,1,,,,,20,0,4,1
File,"ControlBancoImobiliario.java",,1,50,,3,,,,,221,8,23,1
File,"ControlCampos.java",,1,5,,0,,,,,78,0,5,1
File,"ControlPagamentos.java",,1,11,,2,,,,,51,0,7,1
File,"ControlPrisao.java",,1,13,,1,,,,,58,0,7,1
File,"ControlSorteOuReves.java",,1,8,,1,,,,,65,0,6,1
File,"Dado.java",,1,3,,0,,,,,17,0,3,1
File,"EfeitoEspecial.java",,0,0,,0,,,,,5,0,1,1
File,"EntraComJogador.java",,1,9,,1,,,,,80,13,6,2
File,"FactoryCampoEspecial.java",,3,11,,1,,,,,29,0,3,1
File,"FactoryCartas.java",,3,9,,1,,,,,24,0,3,1
File,"FazerPropostaCompraPropriedade.java",,1,10,,0,,,,,90,16,10,5
File,"FichaCriminal.java",,1,5,,0,,,,,21,0,5,1
File,"GameImage.java",,1,3,,0,,,,,22,9,3,1
File,"GameObject.java",,1,9,,0,,,,,54,9,8,1
File,"ImpostoDeRenda.java",,1,3,,1,,,,,17,0,2,1
File,"InputAction.java",,1,11,,2,,,,,56,21,7,1
File,"InputBase.java",,0,0,,0,,,,,6,9,0,1
File,"InserirProposta.java",,1,11,,0,,,,,101,15,11,5
File,"Iterator.java",,0,0,,0,,,,,6,0,3,1
Package,"JPlay",,1,252,,4,,,,,1311,189,170,17
Public Class,"JPlay.Animation",77,1,26,,1,3,1,1,1,132,3,21,
Public Constructor,"JPlay.Animation.Animation",,,1,1,0,,,,,15,0,,
Public Constructor,"JPlay.Animation.Animation",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Animation.draw",,,2,1,1,,,,,9,0,,
Public Method,"JPlay.Animation.getCurrFrame",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Animation.getFinalFrame",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Animation.getInitalFrame",,,1,1,0,,,,,4,0,,
